"Batch"	"oldName"	"subject"	"method"	"sample_type"	"con_bac"	"bac_load"	"con_human"	"host_load"	"total_load"
"24"	"batch12"	"OPH30_M"	"HZ30"	"M"	"OP"	509.945	305966.768	1.154	692.165	306658.933
"25"	"batch11"	"OPL25_RM"	"LG25"	"RM"	"OP"	479.395	287636.914	244.905	146943.25	434580.164
"26"	"batch13"	"OPH32_M"	"HZ32"	"M"	"OP"	478.329	286997.312	5.117	3070.21	290067.522
"27"	"batch12"	"OPL27_R"	"LG27"	"R"	"OP"	446.77	268062.012	305.707	183424.216	451486.228
"28"	"Batch10"	"OPH20_P"	"HZ20"	"P"	"OP"	434.446	260667.74	51.45	30870.021	291537.76
"29"	"Batch9"	"OPH22_P"	"HZ22"	"P"	"OP"	432.593	259555.791	44.572	26743.312	286299.103
"30"	"Batch10"	"OPH20_RM"	"HZ20"	"RM"	"OP"	427.196	256317.346	22.797	13677.935	269995.282
"31"	"batch7"	"BAL26_P"	"LG26"	"P"	"BALF"	419.719	251831.558	21923.116	13153869.539	13405701.097
"32"	"Batch10"	"OPH20_F"	"HZ20"	"Fil"	"OP"	413.1	247859.878	6.393	3905.033	251764.912
"33"	"batch7"	"BAL25_S"	"LG25"	"S"	"BALF"	409.457	245674.401	777.893	466735.775	712410.176
"34"	"batch13"	"OPH33_H"	"HZ33"	"H"	"OP"	395.785	237470.823	0	0	237470.823
"35"	"batch13"	"OPH32_S"	"HZ32"	"S"	"OP"	389.133	233479.706	0	0	233479.706
"36"	"batch7"	"BAL25_RM"	"LG25"	"RM"	"BALF"	387.043	232226.089	5679.699	3407819.218	3640045.307
"37"	"batch11"	"OPL25_P"	"LG25"	"P"	"OP"	354.546	212727.468	265.188	159112.947	371840.416
"38"	"batch8"	"BAL29_P"	"LG29"	"P"	"BALF"	341.349	204809.692	21711.307	13026784.45	13231594.143
"39"	"batch13"	"OPH31_S"	"HZ31"	"S"	"OP"	334.157	200494.151	2.453	1471.536	201965.687
"40"	"batch7"	"BAL25_W"	"LG25"	"W"	"BALF"	330.262	198157.168	3743.828	2246297.091	2444454.259
"41"	"batch13"	"OPH32_W"	"HZ32"	"W"	"OP"	327.894	196736.478	12.781	7668.697	204405.175
"42"	"Batch2"	"OPL07_M"	"LG07"	"M"	"OP"	375.389	195202.066	22.62	11762.413	206964.478
"43"	"Batch9"	"OPH22_F"	"HZ22"	"Fil"	"OP"	278.388	178751.197	17.854	10712.544	189463.74
"44"	"Batch4"	"OPL12_R"	"LG12"	"R"	"OP"	291.446	174867.677	177.418	106450.837	281318.514
"45"	"Batch10"	"OPH23_R"	"HZ23"	"R"	"OP"	258.158	154894.769	372.194	223316.217	378210.986
"46"	"batch11"	"OPL25_F"	"LG25"	"Fil"	"OP"	204.495	150651.084	51.357	37834.864	188485.948
"47"	"batch11"	"OPL25_W"	"LG25"	"W"	"OP"	230.035	138021.101	234.272	140562.942	278584.042
"48"	"Batch9"	"OPH22_W"	"HZ22"	"W"	"OP"	221.941	133164.362	24.35	14610.287	147774.648
"49"	"Batch8"	"OPL14_R"	"LG14"	"R"	"OP"	207.011	124206.779	368.639	221183.63	345390.409
"50"	"Batch9"	"OPL17_RM"	"LG17"	"RM"	"OP"	202.593	121555.596	5.904	3542.309	125097.904
"51"	"batch13"	"OPH32_F"	"HZ32"	"Fil"	"OP"	199.15	120832.529	0.753	456.788	121289.316
"52"	"Batch9"	"OPL17_F"	"LG17"	"Fil"	"OP"	185.338	116782.56	5.375	3224.728	120007.288
"53"	"batch8"	"BAL28_RM"	"LG28"	"RM"	"BALF"	191.841	115104.889	2220.296	1332177.615	1447282.504
"54"	"Batch10"	"OPH20_W"	"HZ20"	"W"	"OP"	179.211	107526.577	4.498	2698.832	110225.408
"55"	"Batch3"	"OPL10_R"	"LG10"	"R"	"OP"	166.105	99662.917	88.185	52910.854	152573.771
