"subject"	"species"	"strain_num_OP"	"strain_num_BA"	"strain_overlap_num"	"OP>BA"	"OP<BA"	"reads_BALF"	"reads_OP"	"reads_BALF_un"	"reads_OP_un"
"167"	"LG14"	"Veillonella.dispar"	2	0	0	1	0	44472	3284414	12544	914730
"168"	"LG14"	"Veillonella.parvula"	5	0	0	1	0	71380	5335132	26964	1982703
"171"	"LG15"	"Haemophilus.parainfluenzae"	1	1	1	0	0	19096	633139	16670	553453
"173"	"LG15"	"Prevotella.melaninogenica"	3	3	2	0	0	14636	2177807	13549	1981935
"175"	"LG15"	"Rothia.mucilaginosa"	2	1	1	1	0	77170	3503489	76404	3464893
"176"	"LG15"	"Schaalia.odontolytica"	2	3	2	0	1	16353	5460647	14668	4805772
"177"	"LG15"	"Streptococcus.oralis"	1	1	0	0	0	17242	184575	2534	21898
"178"	"LG15"	"Veillonella.atypica"	2	2	2	0	0	6519	1766847	4670	1217140
"179"	"LG15"	"Veillonella.dispar"	2	2	2	0	0	18042	2234584	8913	1107926
"180"	"LG15"	"Veillonella.parvula"	3	5	3	0	1	29639	571112	17878	336614
"183"	"LG19"	"Haemophilus.parainfluenzae"	3	2	1	1	0	42984	11225703	36584	9543201
"185"	"LG19"	"Prevotella.melaninogenica"	2	1	1	1	0	16633	2457832	12927	1812473
"187"	"LG19"	"Rothia.mucilaginosa"	2	0	0	1	0	1313	146481	1274	143069
"188"	"LG19"	"Schaalia.odontolytica"	1	0	0	1	0	3704	534334	3169	477239
"189"	"LG19"	"Streptococcus.oralis"	1	0	0	1	0	6959	162431	1267	47723
"191"	"LG19"	"Veillonella.dispar"	0	1	0	0	1	4670	1827815	1786	563614
"192"	"LG19"	"Veillonella.parvula"	5	2	2	1	0	14554	3481118	7042	1411310
"195"	"LG24"	"Haemophilus.parainfluenzae"	5	2	2	1	0	169590	2327299	146696	2005384
"196"	"LG24"	"Mycoplasma.pneumoniae"	0	1	0	0	1	6748	0	6716	0
"197"	"LG24"	"Prevotella.melaninogenica"	3	2	2	1	0	55163	6077753	50166	5342838
