"subject"	"species"	"sample_type"	"Freq"
"710"	"LG25"	"Streptococcus.oralis"	"OP"	2
"716"	"HZ21"	"Veillonella.atypica"	"OP"	1
"719"	"HZ30"	"Veillonella.atypica"	"OP"	2
"722"	"HZ33"	"Veillonella.atypica"	"OP"	2
"724"	"HZ35"	"Veillonella.atypica"	"OP"	2
"725"	"HZ36"	"Veillonella.atypica"	"OP"	2
"727"	"LG01"	"Veillonella.atypica"	"OP"	2
"729"	"LG03"	"Veillonella.atypica"	"OP"	2
"730"	"LG04"	"Veillonella.atypica"	"OP"	2
"733"	"LG09"	"Veillonella.atypica"	"OP"	2
"734"	"LG10"	"Veillonella.atypica"	"OP"	2
"735"	"LG11"	"Veillonella.atypica"	"OP"	1
"739"	"LG15"	"Veillonella.atypica"	"OP"	2
"740"	"LG16"	"Veillonella.atypica"	"OP"	2
"741"	"LG17"	"Veillonella.atypica"	"OP"	2
"743"	"LG24"	"Veillonella.atypica"	"OP"	2
"744"	"LG25"	"Veillonella.atypica"	"OP"	2
"745"	"LG26"	"Veillonella.atypica"	"OP"	2
"746"	"LG27"	"Veillonella.atypica"	"OP"	2
"750"	"HZ21"	"Veillonella.dispar"	"OP"	1
"751"	"HZ22"	"Veillonella.dispar"	"OP"	1
"753"	"HZ30"	"Veillonella.dispar"	"OP"	2
"756"	"HZ33"	"Veillonella.dispar"	"OP"	1
"759"	"HZ36"	"Veillonella.dispar"	"OP"	2
"761"	"LG01"	"Veillonella.dispar"	"OP"	2
"763"	"LG03"	"Veillonella.dispar"	"OP"	2
"764"	"LG04"	"Veillonella.dispar"	"OP"	1
"767"	"LG09"	"Veillonella.dispar"	"OP"	2
"768"	"LG10"	"Veillonella.dispar"	"OP"	2
"769"	"LG11"	"Veillonella.dispar"	"OP"	2
"772"	"LG14"	"Veillonella.dispar"	"OP"	2
"773"	"LG15"	"Veillonella.dispar"	"OP"	2
"774"	"LG16"	"Veillonella.dispar"	"OP"	2
"775"	"LG17"	"Veillonella.dispar"	"OP"	2
"777"	"LG24"	"Veillonella.dispar"	"OP"	2
"779"	"LG26"	"Veillonella.dispar"	"OP"	2
"780"	"LG27"	"Veillonella.dispar"	"OP"	2
"783"	"HZ20"	"Veillonella.parvula"	"OP"	5
"784"	"HZ21"	"Veillonella.parvula"	"OP"	4
"785"	"HZ22"	"Veillonella.parvula"	"OP"	5
"786"	"HZ23"	"Veillonella.parvula"	"OP"	5
"787"	"HZ30"	"Veillonella.parvula"	"OP"	5
"789"	"HZ32"	"Veillonella.parvula"	"OP"	5
"790"	"HZ33"	"Veillonella.parvula"	"OP"	3
"791"	"HZ34"	"Veillonella.parvula"	"OP"	3
"792"	"HZ35"	"Veillonella.parvula"	"OP"	5
"793"	"HZ36"	"Veillonella.parvula"	"OP"	3
"794"	"HZ37"	"Veillonella.parvula"	"OP"	1
"795"	"LG01"	"Veillonella.parvula"	"OP"	3
"796"	"LG02"	"Veillonella.parvula"	"OP"	2
"797"	"LG03"	"Veillonella.parvula"	"OP"	3
"798"	"LG04"	"Veillonella.parvula"	"OP"	1
"799"	"LG05"	"Veillonella.parvula"	"OP"	5
"800"	"LG07"	"Veillonella.parvula"	"OP"	3
"801"	"LG09"	"Veillonella.parvula"	"OP"	3
"802"	"LG10"	"Veillonella.parvula"	"OP"	3
"803"	"LG11"	"Veillonella.parvula"	"OP"	3
"804"	"LG12"	"Veillonella.parvula"	"OP"	5
"805"	"LG13"	"Veillonella.parvula"	"OP"	2
"806"	"LG14"	"Veillonella.parvula"	"OP"	5
